short_name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,work_rate,player_tags,team_position,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits
K. Mbappé,20,178,73,France,Paris Saint-Germain,89,95,Right,High/Low,"#Speedster, #Dribbler, #Acrobat",RW,2018-07-01,2022,RM,10,96,84,78,90,39,75,"Beat Offside Trap, Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite"
K. Koulibaly,28,187,89,Senegal,Napoli,89,91,Right,Medium/High,"#Tackling , #Tactician , #Strength, #Complete Defender",LCB,2014-07-01,2021,,,71,28,54,67,89,87,Long Passer (CPU AI Only)
H. Kane,25,188,89,England,Tottenham Hotspur,89,91,Right,High/High,"#Engine, #Distance Shooter, #Clinical Finisher",ST,2010-07-01,2024,ST,9,70,91,79,81,47,83,"Injury Free, Avoids Using Weaker Foot, Argues with Officials, Giant Throw-in"
Alisson,26,191,91,Brazil,Liverpool,89,91,Right,Medium/Medium,,GK,2018-07-19,2024,,,,,,,,,"Flair, Swerve Pass"
De Gea,28,192,82,Spain,Manchester United,89,90,Right,Medium/Medium,,GK,2011-07-01,2020,GK,1,,,,,,,"Flair, Second Wind, Flair Passes"
N. Kanté,28,168,72,France,Chelsea,89,90,Right,Medium/High,"#Tackling , #Tactician ",RCM,2016-07-16,2023,LDM,13,78,65,77,81,87,83,Diver
G. Chiellini,34,187,85,Italy,Juventus,89,89,Left,Medium/High,"#Tackling , #Tactician , #Strength, #Complete Defender",LCB,2005-07-01,2020,LCB,3,68,46,58,60,90,82,"Inflexible, Power Free-Kick, Injury Prone, Long Passer (CPU AI Only)"
S. Agüero,31,173,70,Argentina,Manchester City,89,89,Right,High/Medium,"#Dribbler, #Clinical Finisher, #Complete Forward",ST,2011-07-28,2021,ST,9,80,90,77,88,33,74,"Avoids Using Weaker Foot, Outside Foot Shot"
Sergio Ramos,33,184,82,Spain,Real Madrid,89,89,Right,High/Medium,"#Aerial Threat, #Tackling , #Tactician , #Complete Defender",LCB,2005-08-01,2020,RCB,15,72,68,75,73,87,85,"Injury Prone, Avoids Using Weaker Foot, Leadership, Long Passer (CPU AI Only), Giant Throw-in"
L. Suárez,32,182,86,Uruguay,FC Barcelona,89,89,Right,High/Medium,"#Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",ST,2014-07-11,2021,,,73,89,80,84,51,84,"Diver, Speed Dribbler (CPU AI Only)"
R. Lewandowski,30,184,80,Poland,FC Bayern München,89,89,Right,High/Medium,#Clinical Finisher,ST,2014-07-01,2021,LS,9,77,87,74,85,41,82,"Diver, Beat Offside Trap, Speed Dribbler (CPU AI Only), Outside Foot Shot"
Sergio Busquets,30,189,76,Spain,FC Barcelona,89,89,Right,Medium/Medium,"#Playmaker  , #Tactician ",CDM,2008-09-01,2023,CDM,5,42,62,80,80,85,80,Giant Throw-in
A. Griezmann,28,176,73,France,FC Barcelona,89,89,Left,High/High,"#Dribbler, #Engine, #Acrobat, #Clinical Finisher, #Complete Forward",LW,2019-07-12,2024,CAM,7,81,86,84,89,57,72,"Beat Offside Trap, Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite"
P. Dybala,25,177,75,Argentina,Juventus,88,92,Left,Medium/Medium,"#Dribbler, #Playmaker  , #FK Specialist, #Acrobat, #Complete Midfielder",RW,2015-07-01,2022,CF,21,83,82,84,90,43,64,"Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
P. Pogba,26,191,84,France,Manchester United,88,91,Right,High/Medium,"#Dribbler, #Playmaker  , #Strength, #Complete Midfielder",LDM,2016-08-09,2021,RDM,6,74,81,86,85,66,86,"Selfish, Leadership, Argues with Officials, Finesse Shot, Crowd Favourite"
Ederson,25,188,86,Brazil,Manchester City,88,91,Left,Medium/Medium,,GK,2017-07-01,2024,,,,,,,,,"Leadership, Swerve Pass, Acrobatic Clearance"
R. Sterling,24,170,69,England,Manchester City,88,90,Right,High/Medium,"#Speedster, #Dribbler, #Acrobat",LW,2015-07-14,2023,LW,10,93,79,78,89,45,57,"Selfish, Early Crosser"
C. Eriksen,27,181,76,Denmark,Tottenham Hotspur,88,89,Right,High/High,"#Playmaker  , #Engine, #Crosser, #FK Specialist, #Complete Midfielder",RM,2013-08-30,2020,CAM,10,73,81,90,84,53,63,"Selfish, Argues with Officials, Finesse Shot"
T. Courtois,27,199,96,Belgium,Real Madrid,88,89,Left,Medium/Medium,,GK,2018-08-09,2024,GK,1,,,,,,,"Flair, Acrobatic Clearance"
Piqué,32,194,85,Spain,FC Barcelona,88,88,Right,High/Medium,"#Aerial Threat, #Tackling , #Tactician , #Strength, #Complete Defender",RCB,2008-07-01,2022,,,56,61,72,68,88,80,Avoids Using Weaker Foot
S. Handanovič,34,193,92,Slovenia,Inter,88,88,Right,Medium/Medium,,GK,2012-07-01,2021,,,,,,,,,"Flair, Giant Throw-in"
M. Neuer,33,193,92,Germany,FC Bayern München,88,88,Right,Medium/Medium,,GK,2011-07-01,2021,GK,1,,,,,,,"Power Free-Kick, Flair, Swerve Pass, Acrobatic Clearance"
H. Lloris,32,188,82,France,Tottenham Hotspur,88,88,Left,Medium/Medium,,GK,2012-08-31,2022,GK,1,,,,,,,"Swerve Pass, Acrobatic Clearance"
David Silva,33,173,67,Spain,Manchester City,88,88,Left,High/Medium,"#Dribbler, #Playmaker  , #Acrobat, #Complete Midfielder",LCM,2010-07-14,2020,,,65,74,88,89,52,57,"Beat Offside Trap, Selfish, Finesse Shot"
E. Cavani,32,185,77,Uruguay,Paris Saint-Germain,88,88,Right,High/High,#Engine,ST,2013-07-16,2020,,,75,86,72,79,55,83,Long Passer (CPU AI Only)
D. Godín,33,187,78,Uruguay,Inter,88,88,Right,Medium/High,"#Tackling , #Tactician ",RCB,2019-07-01,2022,,,60,48,64,61,89,83,"Injury Prone, Long Passer (CPU AI Only)"
T. Kroos,29,183,76,Germany,Real Madrid,88,88,Right,Medium/Medium,"#Playmaker  , #Crosser, #Complete Midfielder",LCM,2014-07-17,2023,SUB,8,45,80,90,81,70,69,"Argues with Officials, Finesse Shot, Crowd Favourite"
M. Reus,30,180,71,Germany,Borussia Dortmund,88,88,Right,High/Medium,"#Dribbler, #Playmaker  , #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Midfielder, #Complete Forward",CAM,2012-07-01,2023,ST,11,85,88,84,87,45,66,"Power Free-Kick, Avoids Using Weaker Foot, Beat Offside Trap, Argues with Officials, Early Crosser, Finesse Shot, Speed Dribbler (CPU AI Only)"
P. Aubameyang,30,187,80,Gabon,Arsenal,88,88,Right,Medium/Low,"#Poacher, #Speedster, #Complete Forward",LM,2018-01-31,2021,,,94,85,75,80,37,69,"Diver, Beat Offside Trap, Early Crosser, Speed Dribbler (CPU AI Only), Outside Foot Shot"
S. Mané,27,175,69,Senegal,Liverpool,88,88,Right,High/Medium,"#Speedster, #Dribbler, #Acrobat",LW,2016-07-01,2023,,,94,83,77,89,44,74,"Selfish, Early Crosser"
A. Laporte,25,189,85,France,Manchester City,87,90,Left,Medium/Medium,"#Tackling , #Tactician ",LCB,2018-01-30,2024,,,64,50,71,68,88,82,Leadership
Bernardo Silva,24,173,64,Portugal,Manchester City,87,90,Left,High/High,"#Dribbler, #Engine, #Acrobat",RW,2017-07-01,2024,CAM,10,81,76,83,92,51,67,"Selfish, Finesse Shot, Crowd Favourite"
Casemiro,27,185,84,Brazil,Real Madrid,87,89,Right,Medium/High,"#Tackling , #Tactician , #Strength, #Complete Defender",CDM,2013-07-11,2021,,,62,72,75,72,85,89,"Long Throw-in, Injury Prone, Argues with Officials"
H. Son,26,183,78,Korea Republic,Tottenham Hotspur,87,88,Right,High/High,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LM,2015-08-28,2023,,,88,86,80,87,42,68,"Diver, Beat Offside Trap, Argues with Officials, Early Crosser"
Fernandinho,34,179,67,Brazil,Manchester City,87,87,Right,Medium/High,#Tactician ,CDM,2013-07-01,2020,,,66,74,79,78,84,79,Argues with Officials
Thiago Silva,34,183,82,Brazil,Paris Saint-Germain,87,87,Right,Medium/High,"#Tackling , #Tactician ",LCB,2012-07-01,2020,,,62,54,72,72,87,78,"Avoids Using Weaker Foot, Long Passer (CPU AI Only)"
K. Benzema,31,185,81,France,Real Madrid,87,87,Right,Medium/Low,,CF,2009-07-09,2021,,,76,82,80,86,39,77,"Finesse Shot, Speed Dribbler (CPU AI Only), Giant Throw-in"
J. Vertonghen,32,189,86,Belgium,Tottenham Hotspur,87,87,Left,High/High,"#Tackling , #Tactician ",LCB,2012-07-01,2020,LCB,5,63,63,74,72,87,79,"Long Throw-in, Avoids Using Weaker Foot"
D. Mertens,32,169,61,Belgium,Napoli,87,87,Right,High/Low,"#Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",SUB,2013-07-01,2020,RF,14,88,83,80,91,35,53,"Beat Offside Trap, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite, Skilled Dribbling"
M. Hummels,30,191,94,Germany,Borussia Dortmund,87,87,Right,High/Medium,"#Tackling , #Tactician ",LCB,2019-07-01,2022,,,51,58,76,72,89,76,"Avoids Using Weaker Foot, Leadership, Finesse Shot, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)"
T. Alderweireld,30,186,81,Belgium,Tottenham Hotspur,87,87,Right,Medium/Medium,"#Tackling , #Tactician ",RCB,2015-07-08,2020,RCB,2,64,55,72,66,88,79,Leadership
Jordi Alba,30,170,68,Spain,FC Barcelona,87,87,Left,High/Medium,"#Speedster, #Crosser, #Acrobat",LB,2012-07-01,2024,LB,18,90,69,81,83,79,73,
Thiago,28,174,70,Spain,FC Bayern München,87,87,Right,Medium/Medium,"#Dribbler, #Playmaker  , #Acrobat, #Complete Midfielder",CDM,2013-07-14,2021,RCM,10,69,74,85,90,69,63,"Power Free-Kick, Injury Prone, Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite"
K. Navas,32,185,80,Costa Rica,Real Madrid,87,87,Right,Medium/Medium,,SUB,2014-08-03,2020,,,,,,,,,"Flair, Second Wind"
L. Insigne,28,163,59,Italy,Napoli,87,87,Right,High/Medium,"#Dribbler, #Crosser, #Acrobat",LS,2010-07-01,2022,LW,10,89,79,85,91,35,47,"Beat Offside Trap, Argues with Officials, Early Crosser"
L. Sané,23,183,75,Germany,Manchester City,86,92,Left,High/Medium,"#Speedster, #Dribbler, #Acrobat",SUB,2016-08-02,2021,LW,19,95,81,79,86,38,70,"Long Throw-in, Selfish, Early Crosser"
Marquinhos,25,183,75,Brazil,Paris Saint-Germain,86,90,Right,Medium/High,"#Tackling , #Tactician ",RCB,2013-07-19,2022,,,74,41,73,70,86,77,Inflexible
M. Škriniar,24,187,80,Slovakia,Inter,86,90,Right,Medium/High,#Tactician ,LCB,2017-07-07,2023,,,69,41,59,66,87,82,
M. Verratti,26,165,60,Italy,Paris Saint-Germain,86,89,Right,Medium/High,"#Dribbler, #Playmaker  , #Acrobat, #Complete Midfielder",RCM,2012-07-18,2021,LCM,6,65,60,84,90,79,66,"Selfish, Finesse Shot"
S. Umtiti,25,182,75,France,FC Barcelona,86,89,Left,Medium/High,"#Tackling , #Tactician ",SUB,2016-07-12,2023,LCB,5,69,63,69,69,86,82,
W. Szczęsny,29,195,90,Poland,Juventus,86,88,Right,Medium/Medium,,GK,2017-07-19,2021,GK,1,,,,,,,Acrobatic Clearance
J. Kimmich,24,176,73,Germany,FC Bayern München,86,88,Right,High/Low,#Crosser,RB,2015-07-01,2023,CDM,6,72,69,86,84,79,78,
Isco,27,176,79,Spain,Real Madrid,86,87,Right,Medium/Low,#Dribbler,SUB,2013-07-03,2022,LW,22,71,77,83,91,59,60,"Injury Free, Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
Roberto Firmino,27,181,76,Brazil,Liverpool,86,87,Right,High/High,"#Dribbler, #Playmaker  , #Engine, #Complete Midfielder",CF,2015-07-06,2023,,,77,82,80,87,61,78,"Selfish, Finesse Shot, Outside Foot Shot, Crowd Favourite"
I. Rakitić,31,184,78,Croatia,FC Barcelona,86,86,Right,Medium/Medium,,RCM,2014-07-01,2021,,,62,81,86,81,74,70,"Diver, Argues with Officials"
M. Pjanić,29,178,72,Bosnia Herzegovina,Juventus,86,86,Right,Medium/Medium,"#Dribbler, #Playmaker  , #FK Specialist, #Complete Midfielder",CDM,2016-07-01,2023,,,68,68,87,85,75,67,"Beat Offside Trap, Argues with Officials, Finesse Shot, Crowd Favourite"
A. Di María,31,180,69,Argentina,Paris Saint-Germain,86,86,Left,High/Medium,"#Dribbler, #Crosser, #FK Specialist, #Acrobat",LW,2015-08-06,2021,RM,11,84,79,84,87,48,68,"Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite"
L. Bonucci,32,190,85,Italy,Juventus,86,86,Right,Low/High,#Tactician ,RCB,2018-08-02,2023,RCB,19,58,58,69,70,87,79,"Long Throw-in, Diver, Leadership, Long Passer (CPU AI Only)"
Coutinho,27,172,68,Brazil,FC Bayern München,86,86,Right,High/Medium,"#Dribbler, #FK Specialist, #Acrobat",LCM,,2020,,,79,80,84,90,52,64,"Injury Free, Selfish, Argues with Officials, Crowd Favourite"
Parejo,30,182,74,Spain,Valencia CF,86,86,Right,Medium/Medium,"#Playmaker  , #FK Specialist, #Complete Midfielder",RCM,2011-07-01,2022,,,41,80,88,79,70,69,"Diver, Leadership, Finesse Shot"
T. Müller,29,186,75,Germany,FC Bayern München,86,86,Right,High/High,"#Engine, #Clinical Finisher",SUB,2008-08-10,2021,,,72,83,79,78,55,71,"Diver, Speed Dribbler (CPU AI Only)"
C. Immobile,29,185,85,Italy,Lazio,86,86,Right,High/Medium,#Clinical Finisher,ST,2016-07-27,2023,ST,17,80,85,63,81,39,76,Speed Dribbler (CPU AI Only)
A. Lacazette,28,175,73,France,Arsenal,86,86,Right,High/High,#Dribbler,ST,2017-07-05,2022,,,82,85,75,86,40,74,"Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite"
M. de Ligt,19,189,89,Netherlands,Juventus,85,93,Right,Medium/High,#Strength,SUB,2019-07-18,2024,RCB,3,67,58,66,68,83,84,"Diver, Avoids Using Weaker Foot, Long Passer (CPU AI Only)"
G. Donnarumma,20,196,90,Italy,Milan,85,92,Right,Medium/Medium,,GK,2015-07-01,2021,GK,22,,,,,,,"Swerve Pass, Acrobatic Clearance"
F. de Jong,22,180,74,Netherlands,FC Barcelona,85,91,Right,Medium/High,"#Dribbler, #Playmaker  , #Complete Midfielder",LCM,2019-07-01,2024,LDM,21,79,64,84,87,76,76,"Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
R. Varane,26,191,81,France,Real Madrid,85,90,Right,Medium/High,#Tackling ,RCB,2011-07-01,2022,RCB,4,83,45,62,63,85,80,
N. Süle,23,195,97,Germany,FC Bayern München,85,90,Right,Medium/Medium,"#Aerial Threat, #Tackling , #Strength",RCB,2017-07-01,2022,RCB,15,72,42,55,50,86,82,
S. Milinković-Savić,24,191,76,Serbia,Lazio,85,90,Right,High/Medium,,RDM,2015-08-06,2023,,,67,79,80,83,77,84,"Selfish, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only), Crowd Favourite"
Rodri,23,191,82,Spain,Manchester City,85,90,Right,Medium/High,,SUB,2019-07-04,2024,SUB,16,67,68,77,77,82,80,
Saúl,24,184,77,Spain,Atlético Madrid,85,89,Left,High/High,#Engine,LCM,2013-07-01,2026,LCM,6,70,78,79,81,78,78,"Beat Offside Trap, Argues with Officials"
Fabinho,25,188,78,Brazil,Liverpool,85,89,Right,Medium/High,"#Tackling , #Tactician ",CDM,2018-07-01,2023,,,68,69,78,77,85,83,"Diver, Injury Prone, Leadership"
A. Robertson,25,178,64,Scotland,Liverpool,85,89,Left,High/High,#Engine,LB,2017-07-21,2024,LB,3,85,62,77,79,80,75,"Dives Into Tackles (CPU AI Only), Early Crosser"
J. Giménez,24,185,80,Uruguay,Atlético Madrid,85,89,Right,Medium/High,#Tackling ,RCB,2013-07-01,2023,,,69,45,52,54,86,82,Injury Prone
C. Lenglet,24,186,81,France,FC Barcelona,85,89,Left,Medium/High,#Tactician ,LCB,2018-07-12,2023,,,75,45,68,65,86,80,Long Passer (CPU AI Only)
Bruno Fernandes,24,179,69,Portugal,Sporting CP,85,88,Right,High/High,"#Playmaker  , #Engine, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder",RCM,2017-07-01,2023,RCM,16,77,83,87,85,65,74,"Avoids Using Weaker Foot, Selfish, Leadership, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
A. Lopes,28,184,81,Portugal,Olympique Lyonnais,85,87,Left,Medium/Medium,,GK,2011-07-01,2020,,,,,,,,,"Giant Throw-in, Swerve Pass, Acrobatic Clearance"
P. Gulácsi,29,192,86,Hungary,RB Leipzig,85,86,Right,Medium/Medium,,GK,2015-07-01,2022,GK,1,,,,,,,
R. Bürki,28,187,85,Switzerland,Borussia Dortmund,85,86,Right,Medium/Medium,,GK,2015-07-01,2021,,,,,,,,,
R. Lukaku,26,190,94,Belgium,Inter,85,86,Left,Medium/Medium,#Strength,LS,2019-08-08,2024,ST,9,75,82,73,72,35,84,"Early Crosser, Long Passer (CPU AI Only)"
K. Manolas,28,189,83,Greece,Napoli,85,86,Right,Low/High,"#Tackling , #Tactician ",RCB,2019-07-02,2022,LCB,4,82,25,42,60,86,81,Injury Prone
Neto,29,190,84,Brazil,FC Barcelona,85,86,Right,Medium/Medium,,SUB,2019-07-09,2023,,,,,,,,,
D. Alaba,27,180,78,Austria,FC Bayern München,85,86,Left,Medium/Medium,,LB,2010-02-10,2021,LM,8,83,73,81,80,80,76,Argues with Officials
M. Icardi,26,181,75,Argentina,Inter,85,86,Right,Medium/Low,#Poacher,RES,2013-07-09,2021,,,75,84,61,77,36,69,"Diver, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)"
Carvajal,27,173,73,Spain,Real Madrid,85,86,Right,High/High,#Engine,RB,2013-07-05,2022,RB,2,81,47,78,81,82,80,
H. Ziyech,26,181,65,Morocco,Ajax,85,86,Left,High/Medium,"#Playmaker  , #Acrobat",RAM,2016-08-30,2022,,,80,75,86,83,50,66,"Selfish, Leadership, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
Z. Ibrahimović,37,195,95,Sweden,LA Galaxy,85,85,Right,Medium/Low,"#Poacher, #Aerial Threat, #Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",ST,2018-03-23,2019,,,56,88,77,77,34,78,"Selfish, Argues with Officials, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only), Crowd Favourite"
A. Gómez,31,165,68,Argentina,Atalanta,85,85,Right,High/Medium,#Acrobat,CAM,2014-09-02,2022,,,89,78,81,86,39,55,"Argues with Officials, Crowd Favourite"
G. Higuaín,31,186,89,Argentina,Juventus,85,85,Right,High/Medium,#Clinical Finisher,SUB,2016-07-26,2021,,,63,85,71,80,31,71,"Argues with Officials, Speed Dribbler (CPU AI Only), Skilled Dribbling"
B. Matuidi,32,180,75,France,Juventus,85,85,Left,Medium/High,#Tactician ,SUB,2017-08-18,2020,LM,14,75,66,76,78,83,81,"Diver, Beat Offside Trap"
G. Bale,29,185,82,Wales,Real Madrid,85,85,Left,Medium/Medium,"#Speedster, #Distance Shooter, #Crosser, #FK Specialist",SUB,2013-09-02,2022,RM,11,91,87,82,82,58,76,"Inflexible, Power Free-Kick, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Outside Foot Shot"
Marcelo,31,174,75,Brazil,Real Madrid,85,85,Left,High/Low,"#Dribbler, #Crosser",LB,2007-01-01,2022,,,81,74,83,89,77,79,"Selfish, Speed Dribbler (CPU AI Only)"
A. Witsel,30,186,81,Belgium,Borussia Dortmund,85,85,Right,Medium/High,,LDM,2018-08-17,2022,LCM,6,73,74,80,79,83,81,"Diver, Avoids Using Weaker Foot"
Alex Sandro,28,180,80,Brazil,Juventus,85,85,Left,High/Medium,,LB,2015-08-21,2020,,,83,65,77,80,82,82,Early Crosser
Iago Aspas,31,176,67,Spain,RC Celta,85,85,Left,High/High,"#Acrobat, #Clinical Finisher",RS,2015-07-01,2023,SUB,17,78,84,77,85,35,64,"Power Free-Kick, Beat Offside Trap, Speed Dribbler (CPU AI Only), Giant Throw-in, Outside Foot Shot"
Koke,27,176,74,Spain,Atlético Madrid,85,85,Right,High/High,"#Engine, #Crosser",RM,2011-01-01,2024,SUB,8,68,75,86,82,74,79,"Finesse Shot, Giant Throw-in"
J. Rodríguez,27,180,75,Colombia,Real Madrid,85,85,Left,Medium/Medium,"#Playmaker  , #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder",SUB,2014-07-22,2020,CAM,10,55,86,87,86,50,63,"Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
Allan,28,175,74,Brazil,Napoli,85,85,Right,Medium/High,"#Tackling , #Tactician ",RCM,2015-07-22,2023,,,75,71,78,84,85,84,Diver
J. Sancho,19,180,76,England,Borussia Dortmund,84,92,Right,Medium/Low,"#Dribbler, #Acrobat",RM,2017-08-31,2022,RW,21,88,72,77,90,36,60,"Beat Offside Trap, Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite"
K. Havertz,20,188,83,Germany,Bayer 04 Leverkusen,84,92,Left,Medium/Medium,,RF,2016-07-01,2022,SUB,23,84,78,79,84,44,65,"Beat Offside Trap, Leadership, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
O. Dembélé,22,178,67,France,FC Barcelona,84,90,Left,High/Medium,"#Speedster, #Dribbler",SUB,2017-08-28,2022,SUB,11,93,79,80,87,36,57,"Power Free-Kick, Selfish, Early Crosser, Crowd Favourite"
Kepa,24,186,85,Spain,Chelsea,84,89,Right,Medium/Medium,,GK,2018-08-08,2024,SUB,13,,,,,,,"Flair, Flair Passes"
João Cancelo,25,182,74,Portugal,Manchester City,84,89,Right,High/Medium,#Crosser,SUB,2019-08-07,2025,SUB,2,90,65,80,84,78,71,Crowd Favourite
D. Alli,23,188,80,England,Tottenham Hotspur,84,89,Right,High/High,#Engine,CAM,2015-02-02,2024,LCM,20,72,81,79,82,71,79,"Selfish, Crowd Favourite"
L. Hernández,23,182,76,France,FC Bayern München,84,89,Left,High/High,,LCB,2019-07-01,2024,LB,21,81,54,70,71,83,82,Long Passer (CPU AI Only)
Arthur,22,171,73,Brazil,FC Barcelona,84,89,Right,Medium/Medium,"#Dribbler, #Playmaker  , #Complete Midfielder",SUB,2018-07-09,2024,,,69,71,81,86,73,70,"Finesse Shot, Crowd Favourite"
M. Depay,25,176,78,Netherlands,Olympique Lyonnais,84,88,Right,High/Low,#FK Specialist,LW,2017-01-20,2021,ST,10,87,80,81,84,32,78,"Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite"
L. Goretzka,24,189,79,Germany,FC Bayern München,84,88,Right,High/Medium,,SUB,2018-07-01,2022,RCM,18,81,77,80,81,75,79,"Injury Prone, Argues with Officials, Early Crosser"
J. Brandt,23,185,83,Germany,Borussia Dortmund,84,88,Right,Medium/Medium,#Dribbler,SUB,2019-07-01,2024,SUB,10,82,78,81,85,40,68,"Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite"
K. Coman,23,179,75,France,FC Bayern München,84,88,Right,Medium/Low,"#Speedster, #Dribbler, #Acrobat",LW,2015-08-30,2023,SUB,8,92,76,77,87,29,60,"Power Free-Kick, Early Crosser"
S. Gnabry,23,175,75,Germany,FC Bayern München,84,87,Right,High/Medium,"#Speedster, #Dribbler, #Acrobat",RW,2017-07-01,2023,RW,20,90,82,75,86,43,69,"Power Free-Kick, Selfish, Argues with Officials, Early Crosser, Crowd Favourite"
N. Fekir,25,173,75,France,Real Betis,84,87,Left,High/Medium,#Dribbler,RM,2019-07-23,2023,,,78,82,81,88,33,77,"Long Throw-in, Beat Offside Trap, Selfish, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite"
B. Leno,27,190,83,Germany,Arsenal,84,86,Right,Medium/Medium,,GK,2018-07-01,2023,,,,,,,,,Swerve Pass
